"","ID","jab","ext","int","red","jab_ex","jab_in","jab_re","province"
"16830",16830,0.15505673,0,0,0,0,0,0,"Zaragoza"
"19913",19913,2.418884987,0,6.359607005,0,0,15.383157905,0,"Girona"
"1500",1500,0.372136152,0,0,0,0,0,0,"Granada"
"3630",3630,0.46517019,0,0,0,0,0,0,"Huelva"
"10011",10011,0.713260958,0,0,0,0,0,0,"Toledo"
"20166",20166,1.147419801,0,5.962131567,0,0,6.841067818,0,"Girona"
"23141",23141,0.610640592,0,0,0,0,0,0,"Huesca"
"3235",3235,1.364499223,3.045949036,0.794950876,5.540389007,4.156195093,1.084709852,7.559856496,"Huelva"
"13591",13591,0.527192882,0,0.397475438,0,0,0.209546221,0,"Madrid"
"4872",4872,0.155660255,1.218379614,1.987377189,1.108077801,0.189653281,0.309355639,0.172483673,"Cordoba"
"24873",24873,0.248090768,0,0,0.554038901,0,0,0.137451936,"Cantabria"
"10456",10456,0.186068076,0,0,0,0,0,0,"Toledo"
"23021",23021,0.77528365,0,0,4.432311205,0,0,3.436298407,"Leon"
"17621",17621,0.248090768,0,3.57727894,0,0,0.887489879,0,"Lleida"
"6879",6879,0.062022692,0,0,0,0,0,0,"Albacete"
"4636",4636,0.217079422,0,0,0,0,0,0,"Jaen"
"20980",20980,0,0,0.397475438,0,0,0,0,"Leon"
"6698",6698,0.279102114,0,0,0,0,0,0,"Ciudad_Real"
"20499",20499,0.31011346,0,0,0,0,0,0,"Palencia"
"13341",13341,0.434158844,0,0,0,0,0,0,"Teruel"
"872",872,3.876418248,0,0,0,0,0,0,"Malaga"
"26",26,3.16315729,0,0.397475438,1.108077801,0,1.257277329,3.505024375,"Cadiz"
"4135",4135,1.302476531,0,0,0,0,0,0,"Murcia"
"3884",3884,0.589215574,0,1.192426313,0,0,0.702596154,0,"Murcia"
"14989",14989,1.054385763,0.609189807,0,0.554038901,0.64232106,0,0.584170729,"Salamanca"
"4311",4311,0.186068076,4.873518457,0,0,0.906806202,0,0,"Badajoz"
"14501",14501,0.124045384,1.827569422,0,0.554038901,0.226701551,0,0.068725968,"Salamanca"
"1611",1611,0.062022692,0,0,0,0,0,0,"Malaga"
"1232",1232,0.77528365,0,0,0,0,0,0,"Huelva"
"15215",15215,0.806294996,0,0,0,0,0,0,"Guadalajara"
"7108",7108,1.519555953,0,0,0,0,0,0,"Ciudad_Real"
"15504",15504,0.062022692,0.609189807,0.397475438,0.554038901,0.037783592,0.024652497,0.034362984,"Zamora"
"23395",23395,0.341124806,0,0,0.554038901,0,0,0.188996412,"Lugo"
"9271",9271,1.829669413,0,0,0,0,0,0,"Toledo"
"14588",14588,0.217079422,0,0,0,0,0,0,"Guadalajara"
"17589",17589,0.949971379,0,0,0,0,0,0,"Zaragoza"
"12186",12186,0.589215574,0,0,0,0,0,0,"Avila"
